model,model_label,seed,stratum_order,stratum,stratum_label,share,count,nll,nll_marker,nll_time,mark_acc,qty_mae,qty_rmse,qty_bias
thp,Adapted THP,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.5316235895036656,0.06783055744905128,-3.599454146952717,0.9780893952673094,31.85574497286423,38.815000669798664,28.487977986582322
thp,Adapted THP,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.503201032647728,0.09181907808499437,-3.5950201107327198,0.961697308819611,0.10602508142268915,0.18612160694699775,-0.0487674834506636
thp,Adapted THP,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.433837790626099,0.16110210429498772,-3.5949398949210836,0.9438452956489402,2.2276675220459388,3.3610324031729446,1.9208754502742382
thp,Adapted THP,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3394108973917853,0.2555620926640377,-3.5949729900558234,0.907636159460977,2.7604195947127685,3.835357485584712,1.8297076177088347
thp,Adapted THP,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.444685437457554,0.15026121255877156,-3.5949466500163254,0.945374449339207,14.809910036778835,18.004076941398555,14.20219532970815
thp,Adapted THP,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.5456014782555383,0.0493656414862776,-3.594967119741816,0.9842243645924628,31.736532279841217,37.087520119343516,30.922910431202414
thp,Adapted THP,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.4961100891898043,0.09398668037792325,-3.5900967695677255,0.9616528999023004,0.10945284549778525,0.18449225721935655,-0.06116515900951283
thp,Adapted THP,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.458881396798184,0.13118808413057023,-3.5900694809287534,0.9537847797423848,1.4919535201865932,2.4496172824066766,0.9883934543664687
thp,Adapted THP,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.2096777757009574,0.38040615595073923,-3.5900839316516966,0.8476979225154407,4.0587842655878,11.974613969734392,2.566124441916858
thp,Adapted THP,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.367987836854226,0.2220988244271636,-3.5900866612813895,0.9262848751835536,19.21665640283436,31.18585140171905,18.484663491382122
thp,Adapted THP,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.509576621516272,0.08051460822257026,-3.5900912297388423,0.9807186678352322,34.084532501193955,39.57799378617409,32.88852157392176
titantpp,TitanTPP,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.527341462558248,0.07210803078278061,-3.5994494933410333,0.9697131183941735,0.06923006264404692,0.1642834134719572,0.03793138179053569
titantpp,TitanTPP,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.48705235470555,0.11231771360432824,-3.5993700683098777,0.9553061293485243,0.8296457656220807,1.3173979498955137,-0.05084186782902687
titantpp,TitanTPP,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.401771475576476,0.1972208834861066,-3.5989923590625823,0.9187254351487928,1.4350797930572357,2.2383701816291124,-1.019740704938577
titantpp,TitanTPP,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4775573152334647,0.12176827457810946,-3.599325589811574,0.9559471365638766,3.569017811353686,5.147969691706906,0.4467622950213596
titantpp,TitanTPP,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.56361613147919,0.035575882499559536,-3.599192013978749,0.9833479404031551,6.500477074532003,9.290710755919504,4.709121155801517
titantpp,TitanTPP,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.5112472558741272,0.07918561813920723,-3.5904328740133318,0.9666266986410871,0.06293498955714003,0.16125835516710346,0.01623373428556993
titantpp,TitanTPP,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.4846771566702013,0.10592265383583589,-3.5905998105060384,0.9575374421041956,0.8624073003206434,1.37704064202666,0.38529285340277064
titantpp,TitanTPP,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.340429962671179,0.24883526752478963,-3.589265230195968,0.9028635597978664,1.2515776257780011,2.0945319883624505,-0.3728920038599167
titantpp,TitanTPP,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4630220321075784,0.127192288423922,-3.5902143205315005,0.9541850220264317,3.3701881179025346,4.735545711683391,2.0422959376711853
titantpp,TitanTPP,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.556378881651152,0.033942580405027074,-3.5903214620561794,0.9894829097283085,5.067116512529271,6.8287831313455865,0.8244629574908592
titantpp,TitanTPP,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.522238306860057,0.07727620444404977,-3.5995145113041054,0.9677591260325074,0.05330872031985702,0.15396541166233713,0.012813277003269381
titantpp,TitanTPP,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.496651490013892,0.10276866497833102,-3.5994201549922216,0.9607829879306264,0.823380671822157,1.3285521363489667,0.012627600281478513
titantpp,TitanTPP,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3664032980522403,0.23304412922028866,-3.599447427272529,0.8832116788321168,1.322612230192738,2.13369079534601,-0.798789210161555
titantpp,TitanTPP,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.474894879294895,0.12453767741480908,-3.599432556709704,0.9559471365638766,2.9474128773559034,4.088289332562907,-1.539869189717521
titantpp,TitanTPP,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.559391179629371,0.040133593133358916,-3.59952477276273,0.985977212971078,6.286636726987874,8.684378285983733,2.9236676870575087
