alternative,alternative_label,stratum_order,stratum,stratum_label,metric,proposal_mean,alternative_mean,delta_mean,delta_std,relative_delta_pct,proposal_better_seeds,seed_42_delta,seed_52_delta,seed_62_delta
quantile_categorical,Quantile-bin categorical,3,p95_p99,"(1562, 3449]",qty_rmse,481.63581727553475,1889.6432040303814,-1408.0073867548467,58.22961229822858,-74.51181174053052,3,-1352.1670157893116,-1403.491828431967,-1468.3633160432614
quantile_categorical,Quantile-bin categorical,4,gt_p99,> 3449,qty_mae,402.2141906480749,3840.253164556962,-3438.038973908887,97.62054454019939,-89.52636262733274,3,-3403.386310818829,-3362.472004178204,-3548.2586067296284
quantile_categorical,Quantile-bin categorical,4,gt_p99,> 3449,qty_rmse,479.0814501893316,3911.6452040709987,-3432.5637538816673,111.67955855938561,-87.75243087765902,3,-3367.611525710433,-3368.560700051546,-3561.5190358830223
quantile_categorical,Quantile-bin categorical,10,p90_plus,Above train p90,qty_mae,479.7224617568797,1404.360313315927,-924.6378515590474,26.978899539037396,-65.84049996227995,3,-894.3889829670482,-933.3112795757563,-946.2132921343375
quantile_categorical,Quantile-bin categorical,10,p90_plus,Above train p90,qty_rmse,556.0296196832634,1782.7069407374631,-1226.6773210541996,28.383764762668097,-68.80981349333574,3,-1194.450980479019,-1237.6198693335757,-1247.9611133500043
quantile_categorical,Quantile-bin categorical,11,p95_plus,Above train p95,qty_mae,391.2133344683731,2243.771052631579,-1852.557718163206,50.84281090442616,-82.56447180698123,3,-1815.3044668097245,-1831.888824141653,-1910.4798635382404
quantile_categorical,Quantile-bin categorical,11,p95_plus,Above train p95,qty_rmse,481.62692551745397,2451.4081189776366,-1969.7811934601827,67.27771954350155,-80.35305007807851,3,-1912.5620923839078,-1952.885003690186,-2043.896484306454
direct_raw_mse,Direct raw-scale MSE,-1,all,All validation,qty_mae,65.85800862026116,35.49122192636265,30.36678669389852,2.9719736248539586,85.56140094839132,0,33.41583507672767,27.478405766531523,30.206119238436365
direct_raw_mse,Direct raw-scale MSE,-1,all,All validation,qty_rmse,185.16137891814137,90.98224721191681,94.17913170622455,13.510274361556519,103.51374536491885,0,106.36597105438736,79.65136420014781,96.52005986413847
direct_raw_mse,Direct raw-scale MSE,0,le_p50,<= 7,qty_mae,1.6240285983143543,9.091345572304078,-7.467316973989723,2.4138012727067553,-82.13654309586686,3,-10.212873927053785,-5.67875688743635,-6.510320107479034
direct_raw_mse,Direct raw-scale MSE,0,le_p50,<= 7,qty_rmse,5.508009053597091,29.4029583827017,-23.89494932910461,4.393969340300044,-81.26716032480067,3,-27.410480023411623,-25.305424742457753,-18.968943221444455
direct_raw_mse,Direct raw-scale MSE,1,p50_p90,"(7, 686]",qty_mae,54.161679019600264,33.938815564847886,20.222863454752375,1.7381214018119524,59.586238111674696,0,22.18718061099925,18.884110443564722,19.59729930969315
direct_raw_mse,Direct raw-scale MSE,1,p50_p90,"(7, 686]",qty_rmse,121.62620731656128,62.121657394149594,59.504549922411684,8.015895706857014,95.78712548647425,0,64.70737687719989,50.273466186090246,63.53280670394492
direct_raw_mse,Direct raw-scale MSE,2,p90_p95,"(686, 1562]",qty_mae,566.8557995020417,143.0015100930433,423.85428940899834,51.18133614378511,296.3984709904248,0,450.9416009379174,364.8217631918161,455.79950409726155
direct_raw_mse,Direct raw-scale MSE,2,p90_p95,"(686, 1562]",qty_rmse,618.6888602141986,188.90262440015945,429.7862358140392,54.709736515020126,227.51734507595143,0,449.137048521798,368.0309407774364,472.1907181428831
direct_raw_mse,Direct raw-scale MSE,3,p95_p99,"(1562, 3449]",qty_mae,388.32606656738824,228.7563782076239,159.56968835976434,45.26734178069426,69.75529583482725,0,211.7002500616435,136.81131457965637,130.19750043799314
direct_raw_mse,Direct raw-scale MSE,3,p95_p99,"(1562, 3449]",qty_rmse,481.63581727553475,303.2679509307471,178.3678663447877,56.87889422376369,58.815270719298326,0,244.0422142352204,146.13784146933352,144.9235433298092
direct_raw_mse,Direct raw-scale MSE,4,gt_p99,> 3449,qty_mae,402.2141906480749,293.82955481935653,108.38463582871834,78.99314515347484,36.88690740975738,0,170.15823093848894,135.61783648140823,19.377840066257875
direct_raw_mse,Direct raw-scale MSE,4,gt_p99,> 3449,qty_rmse,479.0814501893316,373.8027750979259,105.27867509140565,87.52251349240206,28.164230472560178,0,181.51419306311135,124.6178540479545,9.703978163151078
direct_raw_mse,Direct raw-scale MSE,10,p90_plus,Above train p90,qty_mae,479.7224617568797,192.25429186310532,287.46816989377436,38.402875042509905,149.5249687837742,0,327.97354239521076,251.58644303204807,282.84452425406425
direct_raw_mse,Direct raw-scale MSE,10,p90_plus,Above train p90,qty_rmse,556.0296196832634,261.8199362475083,294.20968343575515,42.97059595133615,112.37100109810875,0,334.3862829209585,248.9052627232827,299.3375046630242
direct_raw_mse,Direct raw-scale MSE,11,p95_plus,Above train p95,qty_mae,391.2133344683731,242.28474913479988,148.92858533357318,49.13378969769795,61.46841097733057,0,203.06388292814555,136.56319676449425,107.15867630807975
direct_raw_mse,Direct raw-scale MSE,11,p95_plus,Above train p95,qty_rmse,481.62692551745397,319.2177128536251,162.40921266382887,59.57310970674276,50.877255905376536,0,229.77542306145,140.7801803297885,116.67203460024808
