[Epoch 028] train_loss=-2.60919009 | score=0.94074423 | val_nll=-2.75935688 | val_acc=0.95921655 | val_dt_mae=1.76721330 | val_qty_mae=0.80018345 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 029] train_loss=-2.63704133 | score=0.94353385 | val_nll=-2.79544605 | val_acc=0.96194008 | val_dt_mae=1.76721330 | val_qty_mae=0.73409584 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 030] train_loss=-2.66423220 | score=0.94227299 | val_nll=-2.82487954 | val_acc=0.96071160 | val_dt_mae=1.76721330 | val_qty_mae=0.76646910 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 031] train_loss=-2.68921189 | score=0.94243108 | val_nll=-2.84645739 | val_acc=0.96075795 | val_dt_mae=1.76721330 | val_qty_mae=0.65473969 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 032] train_loss=-2.71396736 | score=0.94335423 | val_nll=-2.87248732 | val_acc=0.96171988 | val_dt_mae=1.76721330 | val_qty_mae=0.69352282 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 033] train_loss=-2.73570837 | score=0.94346514 | val_nll=-2.89249470 | val_acc=0.96191690 | val_dt_mae=1.76721330 | val_qty_mae=0.77963480 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 034] train_loss=-2.75679581 | score=0.94361739 | val_nll=-2.91476017 | val_acc=0.96199803 | val_dt_mae=1.76721330 | val_qty_mae=0.70850307 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 035] train_loss=-2.77863734 | score=0.94041704 | val_nll=-2.92722610 | val_acc=0.95882251 | val_dt_mae=1.76721330 | val_qty_mae=0.73333101 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 036] train_loss=-2.79716181 | score=0.94306561 | val_nll=-2.94978952 | val_acc=0.96138379 | val_dt_mae=1.76721330 | val_qty_mae=0.64604375 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 037] train_loss=-2.81479604 | score=0.94292926 | val_nll=-2.96952428 | val_acc=0.96130266 | val_dt_mae=1.76721330 | val_qty_mae=0.70126443 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 038] train_loss=-2.83345472 | score=0.94233200 | val_nll=-2.98546667 | val_acc=0.96072318 | val_dt_mae=1.76721330 | val_qty_mae=0.71905195 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 039] train_loss=-2.85019102 | score=0.94335214 | val_nll=-3.00217386 | val_acc=0.96174306 | val_dt_mae=1.76721330 | val_qty_mae=0.71878663 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 040] train_loss=-2.86750486 | score=0.94250077 | val_nll=-3.01783996 | val_acc=0.96089703 | val_dt_mae=1.76721330 | val_qty_mae=0.72412570 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 041] train_loss=-2.88255840 | score=0.94397450 | val_nll=-3.03056946 | val_acc=0.96232254 | val_dt_mae=1.76721330 | val_qty_mae=0.67589793 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 042] train_loss=-2.89725772 | score=0.94307824 | val_nll=-3.04772060 | val_acc=0.96141855 | val_dt_mae=1.76721330 | val_qty_mae=0.66818396 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 043] train_loss=-2.91187775 | score=0.94288240 | val_nll=-3.05960121 | val_acc=0.96122153 | val_dt_mae=1.76721330 | val_qty_mae=0.66700280 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 044] train_loss=-2.92545679 | score=0.94237319 | val_nll=-3.07273041 | val_acc=0.96070001 | val_dt_mae=1.76721330 | val_qty_mae=0.65468026 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 045] train_loss=-2.93956618 | score=0.94323661 | val_nll=-3.08867782 | val_acc=0.96160399 | val_dt_mae=1.76721330 | val_qty_mae=0.69524495 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 046] train_loss=-2.95103531 | score=0.94301012 | val_nll=-3.09719699 | val_acc=0.96143014 | val_dt_mae=1.76721330 | val_qty_mae=0.74789195 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 047] train_loss=-2.96326610 | score=0.94403054 | val_nll=-3.11174263 | val_acc=0.96240366 | val_dt_mae=1.76721330 | val_qty_mae=0.70098955 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 048] train_loss=-2.97571436 | score=0.94171995 | val_nll=-3.11567848 | val_acc=0.96010894 | val_dt_mae=1.76721330 | val_qty_mae=0.71685581 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 049] train_loss=-2.98670903 | score=0.94064715 | val_nll=-3.12757729 | val_acc=0.95897317 | val_dt_mae=1.76721330 | val_qty_mae=0.65389167 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 050] train_loss=-2.99769495 | score=0.94366354 | val_nll=-3.14610470 | val_acc=0.96203280 | val_dt_mae=1.76721330 | val_qty_mae=0.69712091 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 051] train_loss=-3.00737799 | score=0.94348278 | val_nll=-3.15489406 | val_acc=0.96189372 | val_dt_mae=1.76721330 | val_qty_mae=0.73880675 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 052] train_loss=-3.01706873 | score=0.94264540 | val_nll=-3.16078727 | val_acc=0.96102451 | val_dt_mae=1.76721330 | val_qty_mae=0.70698297 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
