scale_order,scale_label,count,share,true_qty_mean,pred_qty_mean,qty_mae,qty_median_ae,qty_rmse,qty_wape,log_abs_error,dt_mae,mark_acc,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,eval_split,model_scale_base
5,32-63,8213,0.09518456278611578,38.756361861155206,38.11269854976738,1.9349251966245367,0.7696609497070312,3.774225068701952,0.04992535686286583,0.08462476027834855,1.8099354681602338,0.9030804821624254,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,89.30061571911385,2.374243005265229,1.4691314697265625,3.6632554833823234,0.026450864568938585,0.03596361515281835,2.81187458305537,0.9579719813208806,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,225.30579739376765,3.676326065920712,2.488067626953125,5.2691626380136745,0.01648504979155381,0.023653779258766994,3.0,0.9887640449438202,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,0.9961222622658104,0.0275822846479915,0.01569831371307373,0.10876657491296286,0.0275822846479915,0.034829719644804864,0.7245247594461394,0.9878197606195729,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.0201154662947056,0.4265467276902538,0.05032157897949219,0.6815407362228557,0.19615409680514095,0.3266411707408577,0.8077577407281388,0.7141884994896224,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.642014390712453,0.5880304863586235,0.41794919967651367,0.8449320940713406,0.10644605500428442,0.14822258915017822,3.7925648234926586,0.9328334895345205,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.614800215083452,0.7777439979941265,0.5300703048706055,1.1935474651189382,0.06801006542149501,0.0967980114492539,3.8278661365142477,0.9615639496355202,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.53136930259371,1.4874740516227434,0.7669277191162109,2.819605909604924,0.05833722103597322,0.08056308987630141,2.977406828382672,0.9545110696454687,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,38.5332452640977,2.1249719341300835,0.9725761413574219,3.9336712331319528,0.05482898373543942,0.0899537994062423,1.8099354681602338,0.9044198222330452,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,91.01227280996576,2.4963620181398603,1.9995803833007812,3.3866429366512008,0.02781136282614141,0.038896094329202865,2.81187458305537,0.9579719813208806,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,224.08262867679147,5.129734662750525,3.8661880493164062,6.9560501631442495,0.023002293544308727,0.03334739868195235,3.0,0.9887640449438202,intermittent,marked_target,thp,small,small,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,1.0038227009202527,0.021598735898628225,0.00904691219329834,0.10739975275652246,0.021598735898628225,0.02622469287353435,0.7245247594461394,0.9885472893686928,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.029505028636247,0.34381391804167183,0.06529045104980469,0.5723445608978969,0.15810813724369793,0.2658304202795921,0.8077577407281388,0.7846206192582511,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.601059620620981,0.5511787623697726,0.3430442810058594,0.8672708498567625,0.09977510727330645,0.13850233819997895,3.7925648234926586,0.9340830990315526,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.409872830980579,0.6762154576318639,0.37451791763305664,1.1714286018056705,0.059131870681329975,0.08375299810336236,3.8278661365142477,0.9729953611663353,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.53309183117361,1.3360308988100702,0.6468296051025391,2.5305996106219473,0.05239777444839786,0.07374235984807632,2.977406828382672,0.9647486005345706,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,38.3556276667674,1.945206576776638,0.7669639587402344,3.74852873246083,0.05019063924899213,0.08303323448698573,1.8099354681602338,0.9145257518568124,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,91.01567640552686,2.3248153467668224,1.636322021484375,3.4247761916695847,0.02590020303260817,0.03763540559327149,2.81187458305537,0.9579719813208806,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,225.64085605219995,3.9784726073719994,2.8697052001953125,5.513946668535123,0.017839908063333035,0.026185997172931363,3.0,0.9887640449438202,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,1.0008728331787657,0.03887834138809809,0.0199887752532959,0.14098022214957587,0.03887834138809809,0.04772569340485638,0.7245247594461394,0.9795822576859892,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.1044101990092647,0.32115473176152093,0.04570138454437256,0.5822502754556788,0.14768796067080425,0.23125410743131244,0.8077577407281388,0.8257910854031983,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.572994682424629,0.6235900439906217,0.4075331687927246,0.9388744144166358,0.11288309307532625,0.16256816537631225,3.7925648234926586,0.9050296782255545,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.453220029711487,0.7505410804584217,0.5141901969909668,1.1130510880219056,0.0656312978501215,0.09484463120391623,3.8278661365142477,0.9691848906560636,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.607346503274922,1.5566059371107157,0.7857475280761719,3.0131683714737276,0.06104850334704662,0.08369339551872274,2.977406828382672,0.9544606384588229,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,39.02375513450913,2.4911938600761947,1.1535530090332031,4.16121399463874,0.06427832078255706,0.10516582068899989,1.8099354681602338,0.9025934494094728,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,89.68071103493638,2.2138177491252304,1.6790237426757812,3.2367298546082246,0.024663605760894904,0.035292606659139136,2.81187458305537,0.9579719813208806,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,219.6135819369853,5.652592504109742,5.0758819580078125,6.895364541673405,0.02534684552205948,0.037967223799630495,3.0,0.9887640449438202,intermittent,marked_target,thp,small,small,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
