backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,joint_objective,time_nll,log_qty_mse,qty_mae,qty_rmse,qty_bias
thp,Count-aware THP,count_only_log_regression,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.5956294041548182,-3.59947578434377,0.003846382568744376,2.525745466907294,3.7561622893501845,0.23897392956345792
thp,Count-aware THP,count_only_log_regression,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.5981896097047823,-3.5994683152014075,0.0012787059332006303,7.208234848838225,11.242566676773988,3.297043782801716
thp,Count-aware THP,count_only_log_regression,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.594665766387016,-3.5994863367406795,0.0048205708577344275,0.07123571097353168,0.17174126597452793,-0.0047375570381499804
thp,Count-aware THP,count_only_log_regression,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.595832458111967,-3.5994895791067605,0.0036571219053890226,0.756611808096203,1.3235675091928023,0.09868883692052294
thp,Count-aware THP,count_only_log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.595416205776735,-3.5994892548738338,0.004073048845340934,1.1863043673717193,2.0831272852873277,-0.4363035716614249
thp,Count-aware THP,count_only_log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.5947593171516004,-3.5994929729579304,0.004733654746286662,3.0978732284120176,4.541238068888071,2.0797758721395034
thp,Count-aware THP,count_only_log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.594410955853675,-3.5994934542569856,0.005082500533760835,18.393434476058385,21.28497466308054,16.806235885954447
titantpp,Count-aware TitanTPP,count_only_log_regression,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.5789222644016814,-3.5870360507191323,0.008113787188352786,0.08681285876301977,0.22250528579703824,0.052071039619915056
titantpp,Count-aware TitanTPP,count_only_log_regression,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5932201236348402,-3.5993647554179566,0.006144631983906635,0.9939212652614793,1.541710938649837,-0.29123182298203804
titantpp,Count-aware TitanTPP,count_only_log_regression,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.5920858933040765,-3.599318403464097,0.007232509327910844,2.247318966344526,2.9012886753306124,-2.1220735823552572
titantpp,Count-aware TitanTPP,count_only_log_regression,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.5925290751912344,-3.5976394310921824,0.00511035562668727,2.7941676891847855,3.988578024588853,-0.9150955194593702
titantpp,Count-aware TitanTPP,count_only_log_regression,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.5984512950954053,-3.5992210515228726,0.0007697585085030109,6.067982826600672,7.793836943471554,-3.0487030992165245
titantpp,Count-aware TitanTPP,count_only_log_regression,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.5812595120881547,-3.58890426901647,0.007644757212291662,0.07769329869198709,0.2177446222111705,0.007051523382778711
titantpp,Count-aware TitanTPP,count_only_log_regression,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.594182694448758,-3.599363819299192,0.00518112541091218,0.8903519979068621,1.6014577893708355,0.40938689420631014
titantpp,Count-aware TitanTPP,count_only_log_regression,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.5951233000182357,-3.599259248213578,0.004135949519691188,1.2886026975212976,2.1704581490283776,-0.1158674029672099
titantpp,Count-aware TitanTPP,count_only_log_regression,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.590998468455064,-3.597486822125495,0.006488355240131841,3.6463432911384124,5.317728136420057,2.451506828386528
titantpp,Count-aware TitanTPP,count_only_log_regression,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.5986043706888906,-3.599312533630184,0.0007081641626675382,5.750507685722331,7.561299488155953,0.25895821975052724
titantpp,Count-aware TitanTPP,count_only_log_regression,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.576650252524548,-3.5864790663095336,0.009828813494988825,0.10509147670989202,0.24188901706228752,0.042447825910799646
titantpp,Count-aware TitanTPP,count_only_log_regression,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5938229149529826,-3.599383188231431,0.0055602734394625,0.9638640670288874,1.6221944142323939,0.3487651894206131
titantpp,Count-aware TitanTPP,count_only_log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.595358654664247,-3.599286213709624,0.003927560109707242,1.3471637074697025,2.1532046365587156,-0.1480640452072769
titantpp,Count-aware TitanTPP,count_only_log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.591253346948722,-3.597244550898212,0.005991205777014004,4.03105388142814,5.616904045090749,3.170447460180162
titantpp,Count-aware TitanTPP,count_only_log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.597139647506393,-3.5993723323949065,0.0022326834479887265,11.418911371389886,13.84374123098204,11.203106625261901
