dataset,scope_type,scope,prototype_id,event_count_per_seed,seed_use_fraction,selection_share_mean,selection_share_std,event_hit_share_mean,event_hit_share_std,rank1_share_mean,rank1_share_std,selected_similarity_mean_mean,selected_similarity_mean_std
insta_market_basket,quantity_region,body_le_p95,27,477507,0.3333333333333333,1.745175114361325e-7,3.0227319661786407e-7,6.9807004574453e-7,1.2090927864714563e-6,0.0,0.0,-0.04537971317768097,0.07859996885664634
insta_market_basket,quantity_region,body_le_p95,28,477507,1.0,0.08212933702193545,0.13958134702883204,0.3285173480877418,0.5583253881153282,0.0025151463748175422,0.0020074388787085784,0.3998908597227136,0.049526531822034335
insta_market_basket,quantity_region,body_le_p95,29,477507,0.6666666666666666,0.08152812419503798,0.1412081329015569,0.3261124967801519,0.5648325316062276,0.08256214045029707,0.1430018220415521,0.2602437800976021,0.23820889166000286
insta_market_basket,quantity_region,body_le_p95,30,477507,1.0,0.00016142869807842257,0.0001715154693013409,0.0006457147923136903,0.0006860618772053636,0.0001647445307957091,0.00015126712396712483,0.16910309745363397,0.13303201697524236
insta_market_basket,quantity_region,body_le_p95,31,477507,1.0,0.0030479483372320543,0.004733672272925343,0.012191793348928217,0.018934689091701373,0.00148549305734436,0.002093516140616961,0.32351826730097766,0.19430140038834484
insta_market_basket,quantity_region,body_le_p95,32,477507,0.6666666666666666,0.000039964510118874346,0.00006876765048128095,0.00015985804047549738,0.0002750706019251238,9.07491059467889e-6,0.000015718206224128934,0.19865661908461227,0.17300273191278137
insta_market_basket,quantity_region,body_le_p95,33,477507,1.0,0.00006945796955158075,0.00011577063430464196,0.000277831878206323,0.00046308253721856783,2.79228018297812e-6,3.198958825005595e-6,0.1365091748004363,0.2317798212512564
insta_market_basket,quantity_region,body_le_p95,34,477507,1.0,0.00044798645185655216,0.0007528671486795356,0.0017919458074262087,0.0030114685947181426,0.0005787000679222154,0.0009969019517216706,0.1682428359371807,0.18348216015874474
insta_market_basket,quantity_region,body_le_p95,35,477507,1.0,0.08252933115814708,0.14248229188155037,0.3301173246325883,0.5699291675262015,0.19219055078424677,0.33267706449758194,0.31403199493418216,0.13565682858079336
insta_market_basket,quantity_region,body_le_p95,36,477507,0.3333333333333333,5.410042854520108e-6,9.370469095153789e-6,0.000021640171418080434,0.000037481876380615155,0.0,0.0,-0.022985199095821512,0.03981153265604907
