dataset,seed,scope_type,scope,event_count,memory_on_mae,memory_off_mae,mae_delta_on_minus_off,memory_on_mse,memory_off_mse,mse_delta_on_minus_off,memory_help_share,memory_harm_share,memory_tie_share,retrieval_applied_share,residual_nonzero_share,local_state_norm_mean,memory_residual_norm_mean,memory_residual_norm_p50,memory_residual_norm_p95,relative_residual_norm_mean,top1_similarity_mean,topk_similarity_mean,similarity_margin_mean,quantity_logit_residual_mean,quantity_logit_residual_abs_mean,log_location_shift_mean,prediction_shift_mean,prediction_shift_abs_mean,memory_on_rmse,memory_off_rmse,rmse_delta_on_minus_off,mae_delta_pct_vs_off
yellow_trip_hourly,42,quantity_region,tail_p95_p99,301,508.75345609037583,546.0811637802377,-37.32770768986192,364104.32342677814,405883.8404721881,-41779.51704198894,0.9302325581395349,0.06976744186046512,0.0,1.0,1.0,24.26833259227664,0.14937201157162752,0.14937201142311096,0.14937201142311096,0.006167457231701015,0.39472684709732714,0.376294883778721,0.008880474440679203,0.025325462222099304,0.025325462222099304,0.025310283483460892,45.281388495055545,45.281388495055545,603.4105761641721,637.0901352808628,-33.67955911669071,-6.835560382903795
yellow_trip_hourly,52,history,history_65_128,1475,1.2331846561270245,1.2392506238161507,-0.006065967689126225,7.301721872817941,7.04984794078661,0.25187393208365827,0.5369491525423729,0.46305084745762715,0.0,1.0,1.0,11.11913302922653,0.3687141410324533,0.36560627818107605,0.4221445322036743,0.033467450223989406,0.7117367329334808,0.6864408578711041,0.020653656791832488,-0.08587160592362032,0.0867150908051911,-0.05367627859115601,-0.13297576540607517,0.17552103357799984,2.702169845294322,2.655154974909489,0.047014870384832985,-0.48948675696015975
yellow_trip_hourly,52,history,history_gt_128,5552,58.37795353736675,55.723240118548915,2.6547134188178294,23739.24673518637,22289.62636604331,1449.6203732536255,0.44578530259365995,0.5542146974063401,0.0,1.0,1.0,12.073941935465728,0.24036568463095584,0.2087019681930542,0.36560627818107605,0.02302327066915236,0.5008205724370153,0.4517071878910601,0.050777717305599615,-0.002455342110610092,0.053693006339772156,0.003935484800713206,14.679002433414075,14.903534334399858,154.07545792625888,149.29710769483552,4.77835023142336,4.76410455165571
yellow_trip_hourly,52,history,history_le_64,1241,0.4600195364544797,0.4861056205728763,-0.026086084118396597,0.7514200074296655,0.7134986161355318,0.037921391285961156,0.6341659951651893,0.36583400483481066,0.0,1.0,1.0,16.102273617513134,0.3486408328548926,0.3482946753501892,0.3482946753501892,0.02238520773729545,0.8026722641984462,0.6772582524251208,0.13080481672171718,-0.08022373935131177,0.08022373935131177,-0.043440690883986895,-0.09641888230967002,0.09641888230967002,0.8668448577627172,0.844688472832163,0.022156384930554274,-5.3663407733599335
yellow_trip_hourly,52,overall,overall,8268,39.49011002080159,37.71245535600428,1.7776546647973146,15942.428692035117,14968.95132580645,973.4773689889378,0.4903241412675375,0.5096758587324625,0.0,1.0,1.0,12.508244847986049,0.27951462417354345,0.2879858911037445,0.4221445322036743,0.02479072697599201,0.5837546902657795,0.5274378403230067,0.05741543393810994,-0.02900947492385403,0.06356627850399732,-0.013453386150873624,9.818822741097566,10.053576679010868,126.26333074980684,122.34766579631362,3.91566495349322,4.713707044572717
yellow_trip_hourly,52,quantity,gt_p99,79,355.1788747280459,447.0955702383307,-91.91669551028481,217946.97505579115,312168.1438239375,-94221.16856828521,0.759493670886076,0.24050632911392406,0.0,1.0,1.0,26.589284220828286,0.2087019681930542,0.2087019681930542,0.2087019681930542,0.007853999881286032,0.7391244769096375,0.6333699452726147,0.10960531536536881,0.04536128789186478,0.04536128789186478,0.04534964621821536,182.83978812302215,182.83978812302215,466.84791426736734,558.7200943441514,-91.8721800767841,-20.55862362073668
yellow_trip_hourly,52,quantity,le_p50,4364,1.3457338127190646,1.3689336034680155,-0.023199790748951087,10.063584007599118,9.614558941972735,0.449025065680887,0.5749312557286893,0.42506874427131075,0.0,1.0,1.0,11.79034069915303,0.3464199784019745,0.3482946753501892,0.4221445322036743,0.030999220618730585,0.6816353990579421,0.629553580767621,0.05111777796952086,-0.08026158052268689,0.08091726446973278,-0.051396314413256865,-0.16326963263679053,0.18196285029106682,3.1723152440448157,3.100735226034744,0.07158001801007163,-1.694734550322779
yellow_trip_hourly,52,quantity,p50_p90,3138,33.552925940453434,31.11790092254308,2.4350250179103563,5707.277207036905,4775.998667323227,931.278539634018,0.3849585723390695,0.6150414276609305,0.0,1.0,1.0,10.966289621922071,0.20375539174147894,0.2087019681930542,0.2914316654205322,0.01996319444162725,0.41416494950291227,0.362996240649218,0.05430658771125202,0.024112317465077148,0.04388027469724906,0.02496457042931143,5.1541960557757704,5.2926125641154815,75.54652346095686,69.10860053078218,6.437922930174679,7.825158335620012
yellow_trip_hourly,52,quantity,p90_p95,386,228.57432113410277,207.23310780895807,21.341213325144714,93393.95485082747,77765.05740405276,15628.897458368016,0.36528497409326427,0.6347150259067358,0.0,1.0,1.0,21.156509587184136,0.2087019681930542,0.2087019681930542,0.2087019681930542,0.009905560685254132,0.7106425354517804,0.6113958718554343,0.10407393923695224,0.04536128789186478,0.04536128789186478,0.045316181034621796,50.79788706092637,50.79788706092637,305.6042454725187,278.86386894693396,26.740376525584736,10.2981678703668
yellow_trip_hourly,52,quantity,p95_p99,301,329.0815502686358,308.5450228567535,20.53652741188227,201298.23743398165,179586.88467916698,21711.352764142313,0.45182724252491696,0.5481727574750831,0.0,1.0,1.0,24.205776094202186,0.2087019681930542,0.2087019681930542,0.2087019681930542,0.00863991788839086,0.7291642316552096,0.62580399319183,0.10759930911650294,0.04536128789186478,0.04536128789186478,0.045340297230058335,105.21043259123235,105.21043259123235,448.66272124390014,423.77692796938226,24.88579327451788,6.655925680388189
