dataset,seed,scope_type,scope,prototype_id,event_count,selection_count,selection_share,event_hit_share,rank1_count,rank1_share,selected_similarity_mean,prototype_used
insta_market_basket,42,overall,overall,41,503733,18,8.933303952689223e-6,0.00003573321581075689,0,0.0,0.28997541384564507,true
insta_market_basket,42,overall,overall,42,503733,27,0.000013399955929033833,0.00005359982371613533,0,0.0,0.1882267209390799,true
insta_market_basket,42,overall,overall,43,503733,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,overall,overall,44,503733,3,1.4888839921148704e-6,5.9555359684594815e-6,0,0.0,0.045764310726857126,true
insta_market_basket,42,overall,overall,45,503733,9,4.466651976344611e-6,0.000017866607905378445,0,0.0,-0.012110698968172073,true
insta_market_basket,42,overall,overall,46,503733,7,3.474062648268031e-6,0.000013896250593072123,0,0.0,0.038261713327041695,true
insta_market_basket,42,overall,overall,47,503733,354300,0.1758371994687662,0.7033487978750648,1654,0.0032834854972773274,0.4549366548344131,true
insta_market_basket,42,overall,overall,48,503733,685,0.00033996184486622874,0.001359847379464915,49,0.00009727375415150486,0.3055433930380501,true
insta_market_basket,42,overall,overall,49,503733,460458,0.22852284841374298,0.9140913936549719,117648,0.23355229853910703,0.4604095994610711,true
insta_market_basket,42,overall,overall,50,503733,227979,0.11314476121278534,0.45257904485114137,128396,0.2548889987354412,0.4490828777458121,true
insta_market_basket,42,overall,overall,51,503733,1,4.962946640382902e-7,1.9851786561531606e-6,0,0.0,0.12138693034648895,true
insta_market_basket,42,overall,overall,52,503733,141282,0.07011750272465771,0.28047001089863083,18341,0.036410161732505116,0.4008775893539725,true
insta_market_basket,42,overall,overall,53,503733,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,overall,overall,54,503733,840,0.0004168875177921637,0.0016675500711686548,139,0.0002759398332052893,0.21248129311120248,true
insta_market_basket,42,overall,overall,55,503733,21,0.000010422187944804093,0.00004168875177921637,0,0.0,0.04879355503778372,true
insta_market_basket,42,overall,overall,56,503733,16,7.940714624612643e-6,0.00003176285849845057,5,9.925893280765803e-6,-0.008883957867510617,true
insta_market_basket,42,overall,overall,57,503733,386,0.00019156974031878,0.00076627896127512,69,0.00013697732727456808,0.10448426867918463,true
insta_market_basket,42,overall,overall,58,503733,46,0.000022829554545761346,0.00009131821818304538,0,0.0,0.5197111925353175,true
insta_market_basket,42,overall,overall,59,503733,53,0.000026303617194029376,0.0001052144687761175,18,0.00003573321581075689,0.09630164045418771,true
insta_market_basket,42,overall,overall,60,503733,5,2.4814733201914507e-6,9.925893280765803e-6,0,0.0,0.4006264805793762,true
insta_market_basket,42,overall,overall,61,503733,1,4.962946640382902e-7,1.9851786561531606e-6,0,0.0,-0.10210675001144409,true
insta_market_basket,42,overall,overall,62,503733,7,3.474062648268031e-6,0.000013896250593072123,2,3.970357312306321e-6,-0.056189004597919326,true
insta_market_basket,42,overall,overall,63,503733,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,0,6036,122,0.005053015241882041,0.020212060967528166,0,0.0,0.36324124868775975,true
insta_market_basket,42,quantity,gt_p99,1,6036,1,0.0000414181577203446,0.0001656726308813784,0,0.0,0.22117535769939423,true
insta_market_basket,42,quantity,gt_p99,2,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,3,6036,5844,0.24204771371769385,0.9681908548707754,4705,0.7794897282968853,0.5299298356909975,true
insta_market_basket,42,quantity,gt_p99,4,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,5,6036,159,0.006585487077534791,0.026341948310139165,0,0.0,0.4346930444615442,true
insta_market_basket,42,quantity,gt_p99,6,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,7,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,8,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,9,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,10,6036,4,0.0001656726308813784,0.0006626905235255136,1,0.0001656726308813784,0.4661656692624092,true
insta_market_basket,42,quantity,gt_p99,11,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,12,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,13,6036,1,0.0000414181577203446,0.0001656726308813784,0,0.0,0.4942399859428406,true
insta_market_basket,42,quantity,gt_p99,14,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,15,6036,51,0.0021123260437375746,0.008449304174950299,1,0.0001656726308813784,0.41400645118133694,true
insta_market_basket,42,quantity,gt_p99,16,6036,3,0.00012425447316103378,0.0004970178926441351,1,0.0001656726308813784,0.24279714624087015,true
insta_market_basket,42,quantity,gt_p99,17,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,18,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,19,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,20,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,21,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,22,6036,0,0.0,0.0,0,0.0,0.0,false
insta_market_basket,42,quantity,gt_p99,23,6036,28,0.0011597084161696488,0.004638833664678595,0,0.0,0.4528744231377329,true
