dataset,selector,cell,scope,role,count,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll
yellow_trip_hourly,joint,constant_raw_mae,tail_gt_p95,candidate,380,1.0793264498694748,0.10154850403099844,645.4503109580592,782.3083565444399,0.9777779458384764
yellow_trip_hourly,body,constant_raw_mae,body_le_p95,baseline,7888,1.580643176867957,0.19548982306429638,23.167407269833294,71.13696448202782,1.3851533538036607
yellow_trip_hourly,body,constant_raw_mae,body_le_p95,candidate,7888,1.5862698793959378,0.20111652559227716,22.44242171372682,69.3123862694456,1.3851533538036607
yellow_trip_hourly,body,constant_raw_mae,gt_p99,baseline,79,1.0881963158733672,0.11040541620429935,1166.282479974288,1247.6154806872075,0.9777908996690677
yellow_trip_hourly,body,constant_raw_mae,gt_p99,candidate,79,1.0459362625842914,0.06814536291522363,919.1310386174841,1017.8048686339114,0.9777908996690677
yellow_trip_hourly,body,constant_raw_mae,history_65_128,baseline,1475,1.6755535323863362,0.15672633269288264,1.3479892139919734,3.363331826930227,1.5188271996934535
yellow_trip_hourly,body,constant_raw_mae,history_65_128,candidate,1475,1.6857396530579765,0.166912453364523,1.3788748025894164,3.1907885005267143,1.5188271996934535
yellow_trip_hourly,body,constant_raw_mae,history_gt_128,baseline,5552,1.2725678495421988,0.22757330577671778,76.61825772946008,221.5277390919997,1.044994543765481
yellow_trip_hourly,body,constant_raw_mae,history_gt_128,candidate,5552,1.2751539390226898,0.23015939525720866,66.48722760697092,188.96178490077136,1.044994543765481
yellow_trip_hourly,body,constant_raw_mae,history_le_64,baseline,1241,2.6926021507871964,0.06926174169122291,0.5179498015057167,0.8330240860310215,2.6233404090959733
yellow_trip_hourly,body,constant_raw_mae,history_le_64,candidate,1241,2.6944945759604546,0.07115416686448148,0.5528154764609602,0.8297101626422667,2.6233404090959733
yellow_trip_hourly,body,constant_raw_mae,le_p50,baseline,4364,1.9101973766795286,0.19956998968942363,1.3940361191328243,2.985568659530647,1.710627386990105
yellow_trip_hourly,body,constant_raw_mae,le_p50,candidate,4364,1.9310915050162354,0.22046411802613033,1.5105682176996218,3.246602670884012,1.710627386990105
yellow_trip_hourly,body,constant_raw_mae,overall,baseline,8268,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464
yellow_trip_hourly,body,constant_raw_mae,overall,candidate,8268,1.5614403031545008,0.19501005711895444,44.9754441236103,154.85165867580227,1.3664302460355464
yellow_trip_hourly,body,constant_raw_mae,p50_p90,baseline,3138,1.1835635593476028,0.2009468643817905,29.040303251255537,57.79490369416977,0.9826166949658124
yellow_trip_hourly,body,constant_raw_mae,p50_p90,candidate,3138,1.1712874424216233,0.18867074745581083,29.689225824073745,61.18830571301142,0.9826166949658124
yellow_trip_hourly,body,constant_raw_mae,p90_p95,baseline,386,1.0828745545139982,0.10499748411052855,221.5866925333448,275.9644557378366,0.9778770704034696
yellow_trip_hourly,body,constant_raw_mae,p90_p95,candidate,386,1.061433902759727,0.08355683235625733,200.17852885982532,260.03629700330646,0.9778770704034696
yellow_trip_hourly,body,constant_raw_mae,p95_p99,baseline,301,1.0769984783933704,0.09922393239747428,508.75349583419853,603.4106053930429,0.9777745459958961
yellow_trip_hourly,body,constant_raw_mae,p95_p99,candidate,301,1.0460553257876917,0.06828077979179567,406.045838821766,510.76411394261976,0.9777745459958961
yellow_trip_hourly,body,constant_raw_mae,tail_gt_p95,baseline,380,1.0793264498694748,0.10154850403099844,645.4503109580592,782.3083565444399,0.9777779458384764
yellow_trip_hourly,body,constant_raw_mae,tail_gt_p95,candidate,380,1.046030573174353,0.06825262733587674,512.7135514108758,649.6215240352303,0.9777779458384764
yellow_trip_hourly,joint,linear_log_mse,body_le_p95,baseline,7888,1.580643176867957,0.19548982306429638,23.167407269833294,71.13696448202782,1.3851533538036607
yellow_trip_hourly,joint,linear_log_mse,body_le_p95,candidate,7888,1.5783493799494246,0.1931960261457638,23.34387683319816,73.93953889948892,1.3851533538036607
yellow_trip_hourly,joint,linear_log_mse,gt_p99,baseline,79,1.0881963158733672,0.11040541620429935,1166.282479974288,1247.6154806872075,0.9777908996690677
yellow_trip_hourly,joint,linear_log_mse,gt_p99,candidate,79,1.0068604226363402,0.029069522967272606,577.892216549644,697.729810798308,0.9777908996690677
